;RFA;France;Italie;Pays Bas;Belg. Lux.;Russie;Irlande;Danemark;Grèce
Céréales;68;76;127;60;72;68;84;68;82
Riz;2;4;3;3;2;3;2;2;4
Pommes de terre;81;74;41;81;101;102;111;68;70
Sucre blanc;36;34;31;37;35;40;42;44;24
Légumes;64;115;172;82;60;76;83;57;237
Fruits;89;53;69;84;64;33;30;38;57
Vin;25;93;87;13;66;6;3;14;45
Huiles végétales;6;12;20;4;4;8;8;7;22
Margarine;7;3;1;12;10;6;4;12;1
Viande bov.;24;33;25;21;28;23;23;13;20
Viande porc.;58;38;24;41;41;26;32;51;18
Volailles;84;90;80;136;87;14;14;9;13
Lait et dériv.;85;91;84;135;89;134;187;159;64
Beurre;6;7;2;3;8;5;11;6;1
Rfromages;12;18;13;13;10;6;3;10;8
Œufs;17;15;11;11;14;14;14;14;12
