titreCours;inscription;progression;moyenneDeClasse;duree;difficulte;nbChapitres;ratioQuizEvaluation;nbEvaluations;derniereMiseAJour;idCours
Classez_et_segmentez_des_donn̩es_visuelles;29;34;;15;3;11;0.6666666666666666;3;22;4470531
Initiez-vous_��_la_statistique_inf̩rentielle;55;4;86;12;2;21;0.75;4;8;4525306
D̩couvrez_les_librairies_Python_pour_la_Data_Science;64;64;96;10;2;8;0;2;57;4452741
Devenez_mentor_sur_OpenClassrooms;76;100;91;6;1;12;1;3;29;3595541
Initiez-vous_��_l'alg̬bre_relationnelle_avec_le_langage_SQL;192;14;92;20;2;25;0.5;4;25;4449026
Entrąnez_un_mod̬le_pr̩dictif_lin̩aire;193;65;84;10;2;9;0.5;2;182;4444646
Explorez_vos_donn̩es_avec_des_algorithmes_non_supervis̩s;193;75;85;15;3;13;0.6666666666666666;3;22;4379436
D̩crivez_et_nettoyez_votre_jeu_de_donn̩es;195;3;95;15;2;24;0.75;4;13;4525266
Cr̩ez_votre_Data_Lake;203;44;89;8;2;7;0.5;2;186;4467481
D̩veloppez_une_application_iPhone_avec_le_mod̬le_MVC;218;3;94;30;2;20;0.75;4;61;4504796
Animez_un_atelier_de_cr̩ativit̩;242;49;92;6;1;19;0.75;4;22;4421146
Faites_une_base_de_donn̩es_avec_UML;272;4;88;20;2;18;1;3;160;4055451
Apprenez_��_programmer_en_Python;349;4;84;40;3;38;0.5;4;151;235344
R̩alisez_des_calculs_distribu̩s_sur_des_donn̩es_massives;377;34;85;20;2;15;0.5;4;91;4297166
��valuez_et_am̩liorez_les_performances_d'un_mod̬le_de_machine_learning;412;58;90;10;2;8;0.3333333333333333;3;18;4297211
D̩veloppez_votre_site_web_avec_le_framework_Symfony;713;2;90;30;2;27;0.7142857142857143;7;64;3619856
