,Annee,Titre,Pays,Réalisateur,Entree
0,2022,La Reine des neiges,[''],Chris Buck et Jennifer Lee,5 149 518
1,2022,Le Hobbit : La Désolation de Smaug,"['', '']",Peter Jackson,4 701 246
2,2022,"Moi, moche et méchant 2",[''],Pierre Coffin et Chris Renaud,4 655 036
3,2022,Iron Man 3,"['', '']",Shane Black,4 386 939
4,2022,Django Unchained,[''],Quentin Tarantino,4 303 569
5,2022,Gravity,"['', '']",Alfonso Cuarón,4 094 466
6,2022,Les Profs,[''],Pierre-François Martin-Laval,3 957 176
7,2022,Hunger Games : L'Embrasement,[''],Francis Lawrence,3 140 889
8,2022,Le Loup de Wall Street,[''],Martin Scorsese,3 009 494
9,2022,Insaisissables,"['', '']",Louis Leterrier,3 005 837
10,2022,Fast and Furious 6,[''],Justin Lin,2 994 362
11,2022,Belle et Sébastien,[''],Nicolas Vanier,2 966 318
12,2022,"Les Garçons et Guillaume, à table !","['', '']",Guillaume Gallienne,2 818 013
13,2022,Turbo,[''],David Soren,2 472 511
14,2022,World War Z,[''],Marc Forster,2 444 735
15,2022,Thor : Le Monde des ténèbres,[''],Alan Taylor,2 353 234
16,2022,Les Croods,[''],Chris Sanders et Kirk DeMicco,2 350 349
17,2022,Man of Steel,"['', '', '']",Zack Snyder,2 303 132
18,2022,Les Schtroumpfs 2,[''],Raja Gosnell,2 263 030
19,2022,Monstres Academy,[''],Dan Scanlon,2 135 699
20,2022,9 mois ferme,[''],Albert Dupontel,2 070 776
21,2022,Boule et Bill,[''],Alexandre Charlot et Franck Magnier,2 006 408
22,2022,Wolverine : Le Combat de l'immortel,[''],James Mangold,1 989 081
23,2022,Le Majordome,[''],Lee Daniels,1 932 081
24,2022,Very Bad Trip 3,[''],Todd Phillips,1 925 020
25,2022,Die Hard : Belle journée pour mourir,[''],John Moore,1 824 376
26,2022,Jappeloup,[''],Christian Duguay,1 821 968
27,2022,Eyjafjallajökull,[''],Alexandre Coffre,1 787 433
28,2022,Hôtel Transylvanie,[''],Genndy Tartakovsky,1 709 998
29,2022,Planes,[''],Klay Hall,1 674 646
30,2022,Les Gamins,[''],Anthony Marciano,1 647 260
31,2022,Le Monde Fantastique d'Oz,[''],Sam Raimi,1 592 409
32,2022,Gatsby le Magnifique,"['', '']",Baz Luhrmann,1 570 321
33,2022,Elysium,[''],Neill Blomkamp,1 517 597
34,2022,Casse-tête chinois,[''],Cédric Klapisch,1 515 154
35,2022,Percy Jackson : La Mer des monstres,[''],Thor Freudenthal,1 470 269
36,2022,Blue Jasmine,[''],Woody Allen,1 454 894
37,2022,20 ans d'écart,[''],David Moreau,1 400 146
38,2022,Sur le chemin de l'école,[''],Pascal Plisson,1 384 572
39,2022,Oblivion,[''],Joseph Kosinski,1 331 599
40,2022,Lincoln,[''],Steven Spielberg,1 320 425
41,2022,After Earth,[''],M. Night Shyamalan,1 276 118
42,2022,La Cage dorée,"['', '']",Ruben Alves,1 231 760
43,2022,Epic : La Bataille du royaume secret,[''],Chris Wedge,1 211 919
44,2022,"Lone Ranger, naissance d'un héros",[''],Gore Verbinski,1 175 633
45,2022,Alceste à bicyclette,[''],Philippe Le Guay,1 169 254
46,2022,Conjuring : Les Dossiers Warren,[''],James Wan,1 163 218
47,2022,Prisoners,[''],Denis Villeneuve,1 155 295
48,2022,Vive la France,[''],Michaël Youn,1 107 835
49,2022,Möbius,[''],Éric Rochant,1 095 433
50,2022,Happiness Therapy,[''],David O. Russell,1 067 238
51,2022,La Vie d'Adèle,"['', '', '']",Abdellatif Kechiche,1 036 811
52,2022,Paulette,[''],Jérôme Enrico,1 035 257
53,2022,Le Manoir magique,[''],Ben Stassen et Jeremy Degruson,1 025 319
54,2022,Pacific Rim,[''],Guillermo del Toro,1 019 101
